model,dataset,n_items,c1_lc,c2_lc,c3_lc,c4_lc,c1_lc_rate,c2_lc_rate,c3_lc_rate,c4_lc_rate,original_bidir_rate,length_controlled_bidir_rate,original_c2_rate,length_controlled_c2_rate,delta_c2_lc_minus_orig
qwen2.5,mmlu_stem,3279,16,2168,30,1065,0.004879536444037816,0.6611771881671241,0.009149130832570906,0.32479414455626715,0.2848429399207075,0.014028667276608722,0.4409881061299177,0.6611771881671241,0.22018908203720644
qwen3.5,arc_easy,2376,77,228,431,1640,0.032407407407407406,0.09595959595959595,0.1813973063973064,0.6902356902356902,0.21422558922558924,0.2138047138047138,0.0946969696969697,0.09595959595959595,0.0012626262626262569
qwen3.5,boolq,3270,486,751,841,1192,0.14862385321100918,0.22966360856269113,0.25718654434250765,0.36452599388379203,0.4091743119266055,0.40581039755351683,0.2290519877675841,0.22966360856269113,0.0006116207951070429
qwen3.5,commonsenseqa,1221,27,79,391,724,0.022113022113022112,0.0647010647010647,0.3202293202293202,0.592956592956593,0.34725634725634724,0.34234234234234234,0.06142506142506143,0.0647010647010647,0.0032760032760032684
qwen3.5,gsm8k,1319,105,45,769,400,0.07960576194086429,0.03411675511751327,0.5830174374526156,0.3032600454890068,0.66868840030326,0.6626231993934799,0.032600454890068235,0.03411675511751327,0.0015163002274450332
qwen3.5,mmlu_stem,3279,39,156,633,2451,0.011893870082342177,0.04757548032936871,0.19304666056724612,0.747483989021043,0.20280573345532174,0.20494053064958828,0.04605062519060689,0.04757548032936871,0.00152485513876182
sonnet,arc_easy,2376,96,2250,1,29,0.04040404040404041,0.946969696969697,0.00042087542087542086,0.012205387205387205,0.2074915824915825,0.040824915824915826,0.7840909090909091,0.946969696969697,0.16287878787878796
sonnet,boolq,3270,253,2689,19,309,0.07737003058103975,0.8223241590214068,0.005810397553516819,0.0944954128440367,0.3269113149847095,0.08318042813455657,0.6198776758409786,0.8223241590214068,0.20244648318042813
sonnet,commonsenseqa,1221,75,991,8,147,0.06142506142506143,0.8116298116298116,0.006552006552006552,0.12039312039312039,0.4217854217854218,0.06797706797706797,0.5061425061425061,0.8116298116298116,0.3054873054873055
sonnet,gsm8k,1319,32,1253,1,33,0.024260803639120546,0.9499620924943138,0.000758150113722517,0.025018953752843062,0.5928733889310084,0.025018953752843062,0.39196360879454134,0.9499620924943138,0.5579984836997725
sonnet,mmlu_stem,3279,109,2931,36,203,0.03324184202500762,0.8938700823421775,0.010978956999085087,0.0619091186337298,0.33516315949984754,0.04422079902409271,0.6111619396157365,0.8938700823421775,0.28270814272644096
